Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
GA-151,Henry County,49.95,63,0.11,49.84
GA-153,Houston County,54.89,104,7.84,47.05
GA-155,Irwin County,63.4,121,15.79,47.61
GA-157,Jackson County,56.22,91,5.78,50.44
GA-159,Jasper County,46.24,49,-2.62,48.86
GA-161,Jeff Davis County,59.96,119,12.6,47.36
GA-163,Jefferson County,50.3,98,4.18,46.12
GA-165,Jenkins County,51.73,100,5.55,46.18
GA-167,Johnson County,53.65,107,7.35,46.3
GA-169,Jones County,49.48,82,2.54,46.94
GA-171,Lamar County,49.64,57,-0.13,49.77
GA-173,Lanier County,66.66,121,17.06,49.6
GA-175,Laurens County,60.87,121,14.22,46.65
GA-177,Lee County,55.02,96,6.37,48.65
GA-179,Liberty County,58.85,111,9.71,49.14
GA-181,Lincoln County,49.12,87,2.11,47.01
GA-183,Long County,59.55,112,10.65,48.9
GA-185,Lowndes County,66.93,120,16.1,50.83
GA-187,Lumpkin County,69.19,96,6.7,62.49
GA-189,McDuffie County,48.92,89,2.08,46.84
GA-191,McIntosh County,54.65,94,4.43,50.22
GA-193,Macon County,54.68,99,6.62,48.06
GA-195,Madison County,53.31,86,3.78,49.53
GA-197,Marion County,58.96,109,9.55,49.41
GA-199,Meriwether County,52.57,70,1.57,51
GA-201,Miller County,67.07,116,13.87,53.2
GA-205,Mitchell County,62.08,113,11.35,50.73
GA-207,Monroe County,49.86,73,1.48,48.38
GA-209,Montgomery County,65.99,124,19.54,46.45
GA-211,Morgan County,48.61,61,-0.33,48.94
GA-213,Murray County,70.58,118,14.44,56.14
GA-215,Muscogee County,58.59,106,9.05,49.54
GA-217,Newton County,48.61,57,-1.24,49.85
GA-219,Oconee County,53.04,78,3.36,49.68
GA-221,Oglethorpe County,50.73,79,2.22,48.51
GA-223,Paulding County,55.8,91,4.47,51.33
GA-225,Peach County,54.22,97,6.98,47.24
GA-227,Pickens County,63.16,94,5.68,57.48
GA-229,Pierce County,55.15,101,6.41,48.74
GA-231,Pike County,49.37,56,-0.77,50.14
GA-233,Polk County,57.51,101,6.42,51.09
GA-235,Pulaski County,57.61,111,10.75,46.86
GA-237,Putnam County,45.41,50,-2.09,47.5
GA-239,Quitman County,59.03,105,8.46,50.57
GA-241,Rabun County,73.59,83,4.42,69.17
GA-243,Randolph County,60.94,112,9.85,51.09
GA-245,Richmond County,48.81,94,3.97,44.84
