Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
IA-153,Polk County,30.82,56,-1.11,31.93
IA-155,Pottawattamie County,33.45,83,2.58,30.87
IA-157,Poweshiek County,31.4,49,-2.59,33.99
IA-159,Ringgold County,38.91,93,4.36,34.55
IA-161,Sac County,29.46,69,-0.07,29.53
IA-163,Scott County,33.27,49,-1.61,34.88
IA-165,Shelby County,31.33,64,0.47,30.86
IA-167,Sioux County,27.65,70,0.93,26.72
IA-169,Story County,27.88,33,-3.83,31.71
IA-171,Tama County,28.56,27,-5.46,34.02
IA-173,Taylor County,36.58,82,2.23,34.35
IA-175,Union County,37.53,89,3.68,33.85
IA-177,Van Buren County,40.98,103,5.91,35.07
IA-179,Wapello County,40.46,106,5.98,34.48
IA-181,Warren County,34.65,71,1.84,32.81
IA-183,Washington County,38.21,89,3.93,34.28
IA-185,Wayne County,43.29,114,8.28,35.01
IA-187,Webster County,28.28,42,-2.79,31.07
IA-189,Winnebago County,27.58,31,-3.7,31.28
IA-191,Winneshiek County,30.72,43,-2.41,33.13
IA-193,Woodbury County,27.15,62,-0.49,27.64
IA-195,Worth County,31,51,-0.87,31.87
IA-197,Wright County,30.58,62,-0.38,30.96
KS-001,Allen County,55.51,121,16.33,39.18
KS-003,Anderson County,50.32,114,11.24,39.08
KS-005,Atchison County,36.52,70,1.42,35.1
KS-007,Barber County,25.67,56,-0.33,26
KS-009,Barton County,28.36,96,3.56,24.8
KS-011,Bourbon County,49.67,108,9.37,40.3
KS-013,Brown County,34.91,70,0.55,34.36
KS-015,Butler County,39.28,96,6.03,33.25
KS-017,Chase County,36.47,84,3.79,32.68
KS-019,Chautauqua County,36.14,58,-0.68,36.82
KS-021,Cherokee County,49.15,102,7.52,41.63
KS-023,Cheyenne County,14.92,27,-3.9,18.82
KS-025,Clark County,20.6,45,-1.72,22.32
KS-027,Clay County,27.37,45,-2.82,30.19
KS-029,Cloud County,25.83,45,-2.22,28.05
KS-031,Coffey County,43.73,98,6.81,36.92
KS-033,Comanche County,24.55,71,0.45,24.1
KS-035,Cowley County,35.69,75,1.98,33.71
KS-037,Crawford County,50.5,106,9.51,40.99
KS-039,Decatur County,17.53,34,-3.32,20.85
KS-041,Dickinson County,31.63,69,0.95,30.68
KS-043,Doniphan County,38.89,87,3.53,35.36
KS-045,Douglas County,45.58,111,9.38,36.2
KS-047,Edwards County,27.28,101,4.54,22.74
KS-049,Elk County,36.62,64,0.18,36.44
KS-051,Ellis County,26.11,88,3.02,23.09
KS-053,Ellsworth County,28.39,78,1.72,26.67
KS-055,Finney County,17.5,50,-1.25,18.75
KS-057,Ford County,23.71,80,2.07,21.64
KS-059,Franklin County,48.23,116,10.87,37.36
KS-061,Geary County,31.15,59,-1.43,32.58
KS-063,Gove County,18.22,46,-1.53,19.75
KS-065,Graham County,19.6,42,-2.25,21.85
KS-067,Grant County,17.79,72,0.12,17.67
KS-069,Gray County,19.93,66,-0.12,20.05
KS-071,Greeley County,20.81,105,3.9,16.91
KS-073,Greenwood County,41.55,97,6.26,35.29
KS-075,Hamilton County,18.3,91,1.82,16.48
KS-077,Harper County,26.28,47,-2.12,28.4
KS-079,Harvey County,34.92,87,3.88,31.04
KS-081,Haskell County,18.91,59,-0.31,19.22
KS-083,Hodgeman County,24.27,93,3.65,20.62
KS-085,Jackson County,33.56,59,-0.6,34.16
KS-087,Jefferson County,39.7,88,4.3,35.4
KS-089,Jewell County,27.51,76,1.45,26.06
KS-091,Johnson County,42.25,87,5.16,37.09
KS-093,Kearny County,18,74,0.6,17.4
KS-095,Kingman County,30.43,80,2.43,28
KS-097,Kiowa County,25.94,85,2.27,23.67
KS-099,Labette County,46.1,96,5.93,40.17
KS-101,Lane County,18.85,57,-0.83,19.68
KS-103,Leavenworth County,42.82,102,7.09,35.73
KS-105,Lincoln County,27.53,80,1.76,25.77
KS-107,Linn County,49.44,108,9.42,40.02
KS-109,Logan County,22.03,101,3.67,18.36
KS-111,Lyon County,39.49,91,4.73,34.76
KS-113,McPherson County,32.78,87,3.37,29.41
KS-115,Marion County,32.88,74,1.13,31.75
KS-117,Marshall County,28.99,44,-2.36,31.35
KS-119,Meade County,22.04,81,1.61,20.43
KS-121,Miami County,47.73,105,8.97,38.76
KS-123,Mitchell County,24.29,49,-1.23,25.52
KS-125,Montgomery County,40.32,75,2.5,37.82
KS-127,Morris County,34.5,68,1.43,33.07
KS-129,Morton County,14.23,35,-2.71,16.94
KS-131,Nemaha County,30.52,52,-2.55,33.07
KS-133,Neosho County,53.17,115,13.41,39.76
KS-135,Ness County,22.4,74,1.41,20.99
KS-137,Norton County,21.02,55,-0.97,21.99
KS-139,Osage County,45.12,110,9.48,35.64
KS-141,Osborne County,25.91,80,2.06,23.85
KS-143,Ottawa County,27.21,60,-0.61,27.82
KS-145,Pawnee County,27.43,103,4.51,22.92
KS-147,Phillips County,19.87,39,-3.27,23.14
KS-149,Pottawatomie County,30.62,50,-2.35,32.97
KS-151,Pratt County,26.92,80,1.62,25.3
KS-153,Rawlins County,15.72,28,-4.1,19.82
KS-155,Reno County,30.63,88,3.05,27.58
KS-157,Republic County,27.73,63,-0.16,27.89
KS-159,Rice County,30.08,92,3.33,26.75
KS-161,Riley County,30.38,58,-1.35,31.73
KS-163,Rooks County,22.69,62,-0.29,22.98
KS-165,Rush County,27.59,103,4.8,22.79
KS-167,Russell County,27.18,90,2.7,24.48
KS-169,Saline County,29.59,76,0.79,28.8
KS-171,Scott County,18.64,68,-0.09,18.73
KS-173,Sedgwick County,32.42,73,1.78,30.64
KS-175,Seward County,19.73,70,0.52,19.21
KS-177,Shawnee County,38.72,82,3.99,34.73
KS-179,Sheridan County,17.54,34,-3.26,20.8
KS-181,Sherman County,16.66,48,-1.56,18.22
KS-183,Smith County,26.08,83,2.18,23.9
KS-185,Stafford County,29.89,101,5.07,24.82
KS-187,Stanton County,15.38,50,-1.19,16.57
KS-189,Stevens County,18.1,67,-0.05,18.15
KS-191,Sumner County,31.08,63,-0.03,31.11
KS-193,Thomas County,17.43,42,-2.09,19.52
KS-195,Trego County,18.42,32,-3.08,21.5
KS-197,Wabaunsee County,35.58,75,1.38,34.2
KS-199,Wallace County,19.54,86,1.93,17.61
KS-201,Washington County,28.38,51,-1.25,29.63
KS-203,Wichita County,19.93,88,2.13,17.8
KS-205,Wilson County,47.72,110,10.02,37.7
KS-207,Woodson County,49.2,112,11.74,37.46
KS-209,Wyandotte County,40.16,83,3.99,36.17
KY-001,Adair County,56.54,98,6.28,50.26
KY-003,Allen County,52.99,81,2.73,50.26
KY-005,Anderson County,56.67,113,10.9,45.77
KY-007,Ballard County,46.02,65,-0.33,46.35
KY-009,Barren County,57.36,102,6.84,50.52
KY-011,Bath County,53.62,104,7.72,45.9
KY-013,Bell County,55.76,86,4.02,51.74
KY-015,Boone County,47.81,101,6.29,41.52
KY-017,Bourbon County,51.66,103,6.78,44.88
KY-019,Boyd County,48.98,110,6.9,42.08
KY-021,Boyle County,57.64,113,9.7,47.94
KY-023,Bracken County,47.49,84,3.36,44.13
KY-025,Breathitt County,53.54,106,7.11,46.43
KY-027,Breckinridge County,51.72,90,4.93,46.79
KY-029,Bullitt County,55.36,111,9.87,45.49
KY-031,Butler County,51.87,88,3.8,48.07
KY-033,Caldwell County,48.14,68,0.75,47.39
KY-035,Calloway County,53.41,86,4.4,49.01
KY-037,Campbell County,44.66,84,2.82,41.84
KY-039,Carlisle County,49.58,78,2.38,47.2
KY-041,Carroll County,50.81,104,8.04,42.77
KY-043,Carter County,48.34,106,6.07,42.27
KY-045,Casey County,57.81,110,7.98,49.83
KY-047,Christian County,48.27,62,0.02,48.25
KY-049,Clark County,55.35,110,9.46,45.89
KY-051,Clay County,59.64,117,10.71,48.93
KY-053,Clinton County,60.15,101,7.91,52.24
KY-055,Crittenden County,46.61,70,0.33,46.28
KY-057,Cumberland County,56.33,92,5.11,51.22
KY-059,Daviess County,42.6,43,-2.26,44.86
KY-061,Edmonson County,59.33,113,9.44,49.89
KY-063,Elliott County,47.35,91,4.01,43.34
KY-065,Estill County,58.88,118,12.73,46.15
KY-067,Fayette County,55.02,109,9.97,45.05
KY-069,Fleming County,51.25,102,6.37,44.88
KY-071,Floyd County,47.4,91,3.66,43.74
KY-073,Franklin County,55.7,116,11.02,44.68
KY-075,Fulton County,54.62,90,5.66,48.96
KY-077,Gallatin County,47.68,91,5.29,42.39
KY-079,Garrard County,56.47,111,9.66,46.81
KY-081,Grant County,45.74,83,2.92,42.82
KY-083,Graves County,52.62,86,3.55,49.07
KY-085,Grayson County,56.7,102,7.65,49.05
KY-087,Green County,57.98,112,8.89,49.09
KY-089,Greenup County,48.11,110,6.37,41.74
KY-091,Hancock County,47.52,72,1.75,45.77
KY-093,Hardin County,57.1,115,10.09,47.01
KY-095,Harlan County,53.9,75,1.79,52.11
KY-097,Harrison County,47.58,87,4,43.58
KY-099,Hart County,60.64,117,11.26,49.38
KY-101,Henderson County,38.11,22,-6.32,44.43
KY-103,Henry County,54.36,113,10.26,44.1
KY-105,Hickman County,53.31,88,5.01,48.3
KY-107,Hopkins County,45.64,64,-0.31,45.95
KY-109,Jackson County,59.36,117,11,48.36
KY-111,Jefferson County,52.95,106,8.78,44.17
KY-113,Jessamine County,56.07,108,10.54,45.53
KY-115,Johnson County,45.86,77,2.02,43.84
KY-117,Kenton County,45.72,91,3.9,41.82
KY-119,Knott County,49.05,85,3.02,46.03
KY-121,Knox County,60.24,113,9.92,50.32
KY-123,Larue County,58.73,114,10.6,48.13
KY-125,Laurel County,59.66,117,10.23,49.43
KY-127,Lawrence County,45.9,82,2.57,43.33
KY-129,Lee County,57.83,117,11.16,46.67
KY-131,Leslie County,54.74,101,5.79,48.95
KY-133,Letcher County,47.47,65,0.78,46.69
KY-135,Lewis County,49.64,103,6.13,43.51
KY-137,Lincoln County,57.6,111,8.99,48.61
KY-139,Livingston County,49.49,76,2.08,47.41
KY-141,Logan County,50.59,73,2.13,48.46
KY-143,Lyon County,49.79,75,1.66,48.13
KY-145,McCracken County,48.22,71,0.76,47.46
KY-147,McCreary County,61.41,114,10.84,50.57
KY-149,McLean County,41.26,31,-3.77,45.03
KY-151,Madison County,56.8,114,10.83,45.97
KY-153,Magoffin County,49.49,95,4.94,44.55
KY-155,Marion County,58,113,9.47,48.53
KY-157,Marshall County,51.17,82,2.95,48.22
KY-159,Martin County,49.17,93,4.05,45.12
KY-161,Mason County,48.9,96,4.79,44.11
KY-163,Meade County,53.03,103,7.41,45.62
KY-165,Menifee County,56.42,109,9.97,46.45
KY-167,Mercer County,56.93,113,10.44,46.49
KY-169,Metcalfe County,56.71,103,6.46,50.25
KY-171,Monroe County,54.85,84,2.99,51.86
KY-173,Montgomery County,54.62,103,7.89,46.73
KY-175,Morgan County,50.7,100,6.01,44.69
KY-177,Muhlenberg County,46.32,59,-0.4,46.72
KY-179,Nelson County,56.63,113,9.58,47.05
KY-181,Nicholas County,49.89,95,4.95,44.94
KY-183,Ohio County,47.63,72,1.21,46.42
KY-185,Oldham County,54.11,107,9.54,44.57
KY-187,Owen County,50.75,104,7.06,43.69
KY-189,Owsley County,57.74,115,10.43,47.31
KY-191,Pendleton County,45.18,78,1.91,43.27
KY-193,Perry County,51.74,91,4.35,47.39
KY-195,Pike County,50.46,101,6.1,44.36
KY-197,Powell County,59.33,116,12.77,46.56
KY-199,Pulaski County,58.01,109,8.13,49.88
KY-201,Robertson County,47.75,89,3.63,44.12
KY-203,Rockcastle County,58.06,112,8.72,49.34
KY-205,Rowan County,52.81,108,7.8,45.01
KY-207,Russell County,58.35,103,7.47,50.88
KY-209,Scott County,53.24,111,9.19,44.05
KY-211,Shelby County,55.77,112,10.22,45.55
KY-213,Simpson County,52.84,83,3.88,48.96
KY-215,Spencer County,55.55,111,8.92,46.63
KY-217,Taylor County,57.58,109,8.08,49.5
KY-219,Todd County,46.23,48,-2.12,48.35
KY-221,Trigg County,50.12,73,1.36,48.76
KY-223,Trimble County,53.2,110,9.8,43.4
KY-225,Union County,40.79,32,-4.09,44.88
KY-227,Warren County,54.92,93,5.81,49.11
KY-229,Washington County,57.28,112,9.89,47.39
KY-231,Wayne County,59.39,107,8.57,50.82
KY-233,Webster County,41.96,35,-3.35,45.31
KY-235,Whitley County,61.88,117,11.67,50.21
KY-237,Wolfe County,55.44,111,9.46,45.98
KY-239,Woodford County,56.6,110,11.46,45.14
LA-001,Acadia Parish,72.75,111,14.42,58.33
LA-003,Allen Parish,65.49,91,6.69,58.8
LA-005,Ascension Parish,93.07,126,32.62,60.45
LA-007,Assumption Parish,84.47,125,23.34,61.13
LA-009,Avoyelles Parish,71.35,118,13.9,57.45
LA-011,Beauregard Parish,67.65,105,10.74,56.91
LA-013,Bienville Parish,53.86,69,0.73,53.13
LA-015,Bossier Parish,53.7,85,4.14,49.56
LA-017,Caddo Parish,54.45,91,6.15,48.3
LA-019,Calcasieu Parish,68.92,104,11.5,57.42
LA-021,Caldwell Parish,49.65,45,-4.8,54.45
LA-023,Cameron Parish,70.9,110,14.11,56.79
LA-025,Catahoula Parish,60.61,91,4.97,55.64
LA-027,Claiborne Parish,57.63,90,5.42,52.21
LA-029,Concordia Parish,70.88,115,14.69,56.19
LA-031,De Soto Parish,52.72,75,2.81,49.91
LA-033,East Baton Rouge Parish,88.71,126,28.43,60.28
LA-035,East Carroll Parish,53.98,71,0.8,53.18
LA-037,East Feliciana Parish,87.85,125,26.2,61.65
LA-039,Evangeline Parish,71.69,112,12.83,58.86
LA-041,Franklin Parish,50.31,45,-3.64,53.95
LA-043,Grant Parish,66.77,104,11.14,55.63
LA-045,Iberia Parish,76.18,118,17.65,58.53
LA-047,Iberville Parish,84.32,125,25.1,59.22
LA-049,Jackson Parish,53.25,62,-1.03,54.28
LA-051,Jefferson Parish,96.87,125,35.47,61.4
LA-053,Jefferson Davis Parish,68.47,104,9.94,58.53
LA-055,Lafayette Parish,77.28,120,18.59,58.69
LA-057,Lafourche Parish,89.62,125,27.84,61.78
LA-059,La Salle Parish,62.28,91,6.1,56.18
LA-061,Lincoln Parish,55.26,74,2.23,53.03
LA-063,Livingston Parish,100.73,126,38.99,61.74
LA-065,Madison Parish,53.69,68,0.35,53.34
LA-067,Morehouse Parish,52.86,71,-0.33,53.19
LA-069,Natchitoches Parish,59.7,92,6.82,52.88
LA-071,Orleans Parish,94.7,125,33.92,60.78
LA-073,Ouachita Parish,49.87,53,-3.43,53.3
LA-075,Plaquemines Parish,94.54,126,33.52,61.02
LA-077,Pointe Coupee Parish,80.15,124,21.07,59.08
LA-079,Rapides Parish,70.07,109,13.01,57.06
LA-081,Red River Parish,51.92,68,0.85,51.07
LA-083,Richland Parish,49.98,49,-3.56,53.54
LA-085,Sabine Parish,60.2,97,8.56,51.64
LA-087,St. Bernard Parish,95.15,125,34.11,61.04
LA-089,St. Charles Parish,94.62,125,33.21,61.41
LA-091,St. Helena Parish,93.61,126,30.65,62.96
LA-093,St. James Parish,89.72,125,28.8,60.92
LA-095,St. John the Baptist Parish,95.52,126,34.69,60.83
LA-097,St. Landry Parish,75.68,118,16.85,58.83
LA-099,St. Martin Parish,78.32,121,19.11,59.21
LA-101,St. Mary Parish,77.55,119,17.61,59.94
LA-103,St. Tammany Parish,97.97,126,36.57,61.4
LA-105,Tangipahoa Parish,99.54,126,36.9,62.64
LA-107,Tensas Parish,56.32,72,1.92,54.4
LA-109,Terrebonne Parish,80.32,120,18.56,61.76
LA-111,Union Parish,55.71,83,3.05,52.66
LA-113,Vermilion Parish,72.07,111,14.16,57.91
LA-115,Vernon Parish,72.81,116,17.22,55.59
LA-117,Washington Parish,94.56,126,32.43,62.13
LA-119,Webster Parish,54.56,81,3.71,50.85
LA-121,West Baton Rouge Parish,85.02,126,25.87,59.15
LA-123,West Carroll Parish,53.42,70,0.21,53.21
LA-125,West Feliciana Parish,81.34,125,21.58,59.76
LA-127,Winn Parish,57.43,75,2.17,55.26
ME-001,Androscoggin County,46.54,80,1.93,44.61
ME-003,Aroostook County,39.09,67,1.1,37.99
ME-005,Cumberland County,48.08,84,3.47,44.61
ME-007,Franklin County,36.84,8,-7.38,44.22
ME-009,Hancock County,49.53,87,3.82,45.71
ME-011,Kennebec County,45.85,88,2.94,42.91
ME-013,Knox County,49.04,81,2.64,46.4
ME-015,Lincoln County,48.7,89,4.09,44.61
ME-017,Oxford County,40.29,32,-3.5,43.79
ME-019,Penobscot County,44.42,87,2.7,41.72
ME-021,Piscataquis County,39.39,53,-2.05,41.44
ME-023,Sagadahoc County,49.93,93,5.44,44.49
ME-025,Somerset County,36.23,17,-5.01,41.24
ME-027,Waldo County,47.49,85,2.74,44.75
ME-029,Washington County,47.08,81,2.81,44.27
ME-031,York County,51.57,101,7.09,44.48
MD-001,Allegany County,38.25,73,0.72,37.53
MD-003,Anne Arundel County,50.83,108,8.38,42.45
MD-005,Baltimore County,51.32,105,7.94,43.38
MD-009,Calvert County,53.57,119,10.62,42.95
MD-011,Caroline County,51.67,111,8.25,43.42
MD-013,Carroll County,49.6,105,7.22,42.38
MD-015,Cecil County,52.93,110,9.17,43.76
MD-017,Charles County,49.34,107,7.12,42.22
MD-019,Dorchester County,51.38,109,7.87,43.51
MD-021,Frederick County,48.84,106,6.99,41.85
MD-023,Garrett County,43.92,47,-1.53,45.45
MD-025,Harford County,54.02,114,10.3,43.72
MD-027,Howard County,51.11,106,8.63,42.48
MD-029,Kent County,49.09,103,6.24,42.85
MD-031,Montgomery County,47.91,101,6.35,41.56
MD-033,Prince George's County,52.76,114,10.47,42.29
MD-035,Queen Anne's County,49.63,104,6.63,43
MD-037,St. Mary's County,53.2,114,10.77,42.43
MD-039,Somerset County,48.68,102,5.96,42.72
MD-041,Talbot County,51.05,104,7.6,43.45
MD-043,Washington County,44.19,98,5.04,39.15
MD-045,Wicomico County,50.92,114,7.23,43.69
MD-047,Worcester County,50.34,109,7.2,43.14
MD-510,Baltimore City,51.66,104,8.8,42.86
MD-511,"Washington, D.C.",52.49,115,10.89,41.6
MA-001,Barnstable County,54.35,116,10.8,43.55
MA-003,Berkshire County,58.6,122,13.1,45.5
MA-005,Bristol County,59.32,123,14.74,44.58
MA-007,Dukes County,53.7,115,10.76,42.94
MA-009,Essex County,61.51,124,18.75,42.76
MA-011,Franklin County,57.97,121,12.95,45.02
MA-013,Hampden County,61.31,122,14.94,46.37
MA-015,Hampshire County,58.57,121,12.77,45.8
MA-017,Middlesex County,60,126,16.57,43.43
MA-019,Nantucket County,46.25,98,4.56,41.69
MA-021,Norfolk County,63.57,125,18.59,44.98
MA-023,Plymouth County,61.42,123,16.35,45.07
MA-025,Suffolk County,64.17,126,19.88,44.29
MA-027,Worcester County,59.96,124,15.44,44.52
MI-001,Alcona County,28.29,57,-0.37,28.66
MI-003,Alger County,28.94,24,-3.32,32.26
MI-005,Allegan County,34.04,56,-0.18,34.22
MI-007,Alpena County,27.31,41,-1.72,29.03
MI-009,Antrim County,31.37,59,-0.2,31.57
MI-011,Arenac County,30.64,87,2.26,28.38
MI-013,Baraga County,28.05,20,-4.23,32.28
MI-015,Barry County,37.95,97,4.77,33.18
MI-017,Bay County,32.18,91,3.23,28.95
MI-019,Benzie County,31.75,64,0.26,31.49
MI-021,Berrien County,36.12,55,-0.37,36.49
MI-023,Branch County,42.52,117,8.06,34.46
MI-025,Calhoun County,39.18,104,5.47,33.71
MI-027,Cass County,39.37,94,3.42,35.95
MI-029,Charlevoix County,30.79,58,-0.01,30.8
MI-031,Cheboygan County,28.88,52,0.11,28.77
MI-033,Chippewa County,29.32,29,-2.56,31.88
MI-035,Clare County,32.96,88,3.35,29.61
MI-037,Clinton County,35.55,96,4.77,30.78
MI-039,Crawford County,30.67,62,0.15,30.52
MI-041,Delta County,27.38,20,-3.45,30.83
MI-043,Dickinson County,23.76,6,-5.94,29.7
MI-045,Eaton County,36.73,99,4.92,31.81
MI-047,Emmet County,30.55,57,0.77,29.78
MI-049,Genesee County,38.32,118,8.24,30.08
MI-051,Gladwin County,31.62,84,2.74,28.88
MI-053,Gogebic County,27.33,11,-5.38,32.71
MI-055,Grand Traverse County,31.38,72,0.88,30.5
MI-057,Gratiot County,35.2,102,5.1,30.1
MI-059,Hillsdale County,41.52,112,7.36,34.16
MI-061,Houghton County,26.08,21,-4.36,30.44
MI-063,Huron County,30.47,69,0.82,29.65
MI-065,Ingham County,35.68,102,4.9,30.78
MI-067,Ionia County,36.62,94,4.88,31.74
MI-069,Iosco County,30.62,79,1.81,28.81
MI-071,Iron County,26.49,23,-4.09,30.58
MI-073,Isabella County,32.77,86,3,29.77
MI-075,Jackson County,37,104,5.49,31.51
MI-077,Kalamazoo County,39.39,103,4.81,34.58
MI-079,Kalkaska County,32.76,77,1.4,31.36
MI-081,Kent County,35.46,87,2.55,32.91
MI-083,Keweenaw County,24.68,24,-4.55,29.23
MI-085,Lake County,35.09,83,2.53,32.56
MI-087,Lapeer County,35.79,106,5.92,29.87
MI-089,Leelanau County,31.45,75,1.23,30.22
MI-091,Lenawee County,38.86,115,7.1,31.76
MI-093,Livingston County,38.23,114,7.72,30.51
MI-095,Luce County,27.39,19,-4.59,31.98
MI-097,Mackinac County,29.31,47,-1.31,30.62
MI-099,Macomb County,40.07,123,9.83,30.24
MI-101,Manistee County,34.22,88,2.63,31.59
MI-103,Marquette County,25.97,11,-5.48,31.45
MI-105,Mason County,32.51,78,1.44,31.07
MI-107,Mecosta County,32.9,74,1.47,31.43
MI-109,Menominee County,26.08,19,-3.87,29.95
MI-111,Midland County,32.56,90,3.39,29.17
MI-113,Missaukee County,34.24,96,4.36,29.88
MI-115,Monroe County,37.8,114,6.68,31.12
MI-117,Montcalm County,36.38,100,4.8,31.58
MI-119,Montmorency County,27.45,46,-0.88,28.33
MI-121,Muskegon County,32.19,66,0.07,32.12
MI-123,Newaygo County,32.9,64,0.39,32.51
MI-125,Oakland County,40.02,122,9.34,30.68
MI-127,Oceana County,31.48,64,-0.32,31.8
MI-129,Ogemaw County,32.43,93,3.58,28.85
MI-131,Ontonagon County,25.82,12,-5.75,31.57
MI-133,Osceola County,34.63,88,3.59,31.04
MI-135,Oscoda County,29.56,70,0.79,28.77
MI-137,Otsego County,29.06,49,-1.08,30.14
MI-139,Ottawa County,31.78,44,-1.23,33.01
MI-141,Presque Isle County,28.6,51,-0.28,28.88
MI-143,Roscommon County,33.11,93,3.53,29.58
MI-145,Saginaw County,35.93,112,6.43,29.5
MI-147,St. Clair County,35.23,101,4.62,30.61
MI-149,St. Joseph County,41.28,114,7.01,34.27
MI-151,Sanilac County,32.05,81,2.02,30.03
MI-153,Schoolcraft County,28.7,33,-2.67,31.37
MI-155,Shiawassee County,37.2,112,7.17,30.03
MI-157,Tuscola County,33.3,96,3.81,29.49
MI-159,Van Buren County,36.38,70,0.92,35.46
MI-161,Washtenaw County,37.87,118,8.02,29.85
MI-163,Wayne County,40.29,123,9.66,30.63
MI-165,Wexford County,35.92,95,4.03,31.89
MN-001,Aitkin County,22.45,16,-4.51,26.96
MN-003,Anoka County,22.75,11,-6.37,29.12
MN-005,Becker County,16.8,6,-6.94,23.74
MN-007,Beltrami County,15.59,2,-7.89,23.48
MN-009,Benton County,24.24,38,-2.41,26.65
MN-011,Big Stone County,29.45,113,6.85,22.6
MN-013,Blue Earth County,24.02,18,-4.82,28.84
MN-015,Brown County,23.1,19,-4.71,27.81
MN-017,Carlton County,24.4,27,-3.53,27.93
MN-019,Carver County,23.61,21,-4.84,28.45
MN-021,Cass County,20.01,11,-5.55,25.56
MN-023,Chippewa County,27.55,86,2.88,24.67
MN-025,Chisago County,24.44,22,-4.74,29.18
MN-027,Clay County,17.42,13,-4.35,21.77
MN-029,Clearwater County,14.78,5,-8.76,23.54
MN-031,Cook County,21.91,4,-7.3,29.21
MN-033,Cottonwood County,25.62,46,-1.19,26.81
MN-035,Crow Wing County,22.27,25,-3.46,25.73
MN-037,Dakota County,23.3,14,-5.95,29.25
MN-039,Dodge County,27.71,35,-2.53,30.24
MN-041,Douglas County,25.05,65,0.24,24.81
MN-043,Faribault County,24.9,23,-4.67,29.57
MN-045,Fillmore County,29.23,40,-2.81,32.04
MN-047,Freeborn County,28.14,36,-2.66,30.8
MN-049,Goodhue County,25.7,23,-4.04,29.74
MN-051,Grant County,25.53,82,2.08,23.45
MN-053,Hennepin County,22.92,17,-5.98,28.9
MN-055,Houston County,31.65,52,-0.59,32.24
MN-057,Hubbard County,16.92,6,-8.27,25.19
MN-059,Isanti County,23.94,25,-4.79,28.73
MN-061,Itasca County,18.84,7,-6.53,25.37
MN-063,Jackson County,27.45,63,0.06,27.39
MN-065,Kanabec County,24.12,30,-3.75,27.87
MN-067,Kandiyohi County,23.76,46,-1.55,25.31
MN-069,Kittson County,14.02,6,-6.21,20.23
MN-071,Koochiching County,18.26,3,-7.31,25.57
MN-073,Lac qui Parle County,28.57,104,4.72,23.85
MN-075,Lake County,22.92,9,-5.66,28.58
MN-077,Lake of the Woods County,19.1,17,-3.77,22.87
MN-079,Le Sueur County,23.69,18,-5.41,29.1
MN-081,Lincoln County,25.51,71,0.98,24.53
MN-083,Lyon County,24.94,67,0.14,24.8
MN-085,McLeod County,20.68,9,-6.87,27.55
MN-087,Mahnomen County,16,6,-6.98,22.98
MN-089,Marshall County,15.08,8,-5.53,20.61
MN-091,Martin County,26.11,35,-2.44,28.55
MN-093,Meeker County,19.3,11,-6.79,26.09
MN-095,Mille Lacs County,24.21,34,-3.25,27.46
MN-097,Morrison County,24.23,40,-1.62,25.85
MN-099,Mower County,30.06,44,-1.6,31.66
MN-101,Murray County,27.04,72,1.06,25.98
MN-103,Nicollet County,23.3,18,-5.65,28.95
MN-105,Nobles County,28.06,71,1.07,26.99
MN-107,Norman County,17.34,17,-4.1,21.44
MN-109,Olmsted County,28.32,41,-2.63,30.95
MN-111,Otter Tail County,20.98,25,-3.03,24.01
MN-113,Pennington County,15.76,9,-5.48,21.24
MN-115,Pine County,25.7,36,-3,28.7
MN-117,Pipestone County,26.53,77,1.58,24.95
MN-119,Polk County,16.15,11,-4.96,21.11
MN-121,Pope County,27.14,87,2.73,24.41
MN-123,Ramsey County,23.5,18,-5.55,29.05
MN-125,Red Lake County,16.17,11,-5.32,21.49
MN-127,Redwood County,22.74,32,-3.15,25.89
MN-129,Renville County,20.93,13,-5.46,26.39
MN-131,Rice County,24.32,21,-4.97,29.29
MN-133,Rock County,27.37,72,1.43,25.94
MN-135,Roseau County,16.49,9,-4.8,21.29
MN-137,St. Louis County,21.48,8,-5.7,27.18
MN-139,Scott County,24.33,21,-4.52,28.85
MN-141,Sherburne County,22.39,16,-5.25,27.64
MN-143,Sibley County,22.31,13,-6.22,28.53
MN-145,Stearns County,25.05,55,-0.34,25.39
MN-147,Steele County,26.18,27,-3.43,29.61
MN-149,Stevens County,27.76,98,4.44,23.32
MN-151,Swift County,28.76,104,4.64,24.12
MN-153,Todd County,24.51,49,-0.53,25.04
MN-155,Traverse County,27.09,101,5,22.09
MN-157,Wabasha County,29.57,49,-0.99,30.56
MN-159,Wadena County,20.49,15,-4.87,25.36
MN-161,Waseca County,23.85,14,-5.33,29.18
MN-163,Washington County,24.15,17,-5.19,29.34
MN-165,Watonwan County,25.67,37,-2.35,28.02
MN-167,Wilkin County,20.12,34,-2.06,22.18
MN-169,Winona County,32.96,72,1.14,31.82
MN-171,Wright County,20.75,10,-6.8,27.55
MN-173,Yellow Medicine County,25.74,71,1.14,24.6
MS-001,Adams County,81.63,125,25.12,56.51
MS-003,Alcorn County,64.73,107,11.41,53.32
MS-005,Amite County,89.02,125,27.75,61.27
MS-007,Attala County,63.75,108,10.75,53
MS-009,Benton County,59.38,91,5.14,54.24
MS-011,Bolivar County,63.91,104,12.12,51.79
