category,company,abbr,address,street_address,city,state,zip,Website Address,review_avg,reviews,Latitude,Longitude
Pizza restaurant,Jimmy Max,Jimmy Max,"280 Watchogue Rd, Staten Island, NY 10314",280 Watchogue RdStaten Island,Staten Island,NY,10314,http://jimmymax.com/,4.4,665,40.616009,-74.1386996
Pizza restaurant,Joe & Pat s Pizzeria & Restaurant,Joe & Pat's,"1758 Victory Blvd, Staten Island, NY 10314",1758 Victory BlvdStaten Island,Staten Island,NY,10314,https://www.joeandpatsny.com/,4.3,903,40.6129244,-74.1221149
Pizza restaurant,Nunzio s Pizzeria Restaurant,,"2155 Hylan Blvd, Staten Island, NY 10306",2155 Hylan BlvdStaten Island,Staten Island,NY,10306,https://www.nunziospizzeriarestaurant.com/,4.3,390,40.5779615,-74.102684
Pizza restaurant,Avanti s Pizzeria,Avanti's,"1650 Richmond Ave, Staten Island, NY 10314",1650 Richmond AveStaten Island,Staten Island,NY,10314,http://avantispizza.com/,4.3,65,40.6083516,-74.1642734
Pizza restaurant,Bari s Pizza Pasta,,"596 Bay St, Staten Island, NY 10304",596 Bay StStaten Island,Staten Island,NY,10304,http://barispizzany.com/,4.3,308,40.6272621,-74.0762324
Pizza restaurant,Millie s of Staten Island,,"185 Bricktown Way, Staten Island, NY 10309",185 Bricktown WayStaten Island,Staten Island,NY,10309,https://www.milliesoldworld.com/location/staten-island/,4.3,374,40.5309241,-74.2309093
Pizza restaurant,The Pizza Parlor,,"6 Sneden Ave, Staten Island, NY 10312",6 Sneden AveStaten Island,Staten Island,NY,10312,http://www.pizzaparlorny.com/,4.2,307,40.5403852,-74.1770361
Pizza restaurant,Frank s Bay Pizza,,"117 Broad St, Staten Island, NY 10304",117 Broad StStaten Island,Staten Island,NY,10304,http://www.franksbaypizzamenu.com/,4.2,276,40.6248355,-74.0793613
Pizza restaurant,La Piazza Pizzeria & Restaurant,,"1445 Richmond Ave, Staten Island, NY 10314",1445 Richmond AveStaten Island,Staten Island,NY,10314,http://www.lapiazzasi.com/,4.2,231,40.6112069,-74.1564755
Pizza restaurant,Sunset Pizza,,"645 Rossville Ave, Staten Island, NY 10309",645 Rossville AveStaten Island,Staten Island,NY,10309,https://www.sunsetpizzasi.com/,4.2,96,40.542817,-74.2077981
Pizza restaurant,Saporito Pizza,,"896 Huguenot Ave, Staten Island, NY 10312",896 Huguenot AveStaten Island,Staten Island,NY,10312,https://www.saporitopizzany.com/,4.2,82,40.532565,-74.1922744
Pizza restaurant,Avanti s Pizzeria,,"170 New Dorp Ln, Staten Island, NY 10306",170 New Dorp LnStaten Island,Staten Island,NY,10306,http://avantispizza.com/,4.2,91,40.5730879,-74.1153935
Pizza restaurant,Fratelli Pizzeria,,"27 Seguine Ave, Staten Island, NY 10309",27 Seguine AveStaten Island,Staten Island,NY,10309,https://www.fratellipizzeriamenu.com/,4.2,45,40.5256904,-74.2006441
Pizza restaurant,Ambrosino s Pizzeria & Restaurant,,"3161 Amboy Rd, Staten Island, NY 10306",3161 Amboy RdStaten Island,Staten Island,NY,10306,https://www.ambrosinospizza.com/,4.1,197,40.5642171,-74.1334468
Pizza restaurant,DiLeo s Pizzeria,,"2491 Victory Blvd, Staten Island, NY 10314",2491 Victory BlvdStaten Island,Staten Island,NY,10314,http://www.dileosny.com/,4.1,135,40.610693,-74.146137
Pizza restaurant,Crispy Pizza,,"782 Richmond Terrace, Staten Island, NY 10301",782 Richmond TerraceStaten Island,Staten Island,NY,10301,http://crispypizzany.com/,4.1,214,40.6444915,-74.098279
Pizza restaurant,Euro Pizza,,"3271 Richmond Ave, Staten Island, NY 10312",3271 Richmond AveStaten Island,Staten Island,NY,10312,https://www.ordereuropizzamenu.com/,4.1,108,40.5595084,-74.1682411
Takeout Restaurant,Famous New York Pizza,,"430 Jersey St, Staten Island, NY 10301",430 Jersey StStaten Island,Staten Island,NY,10301,https://www.famousnypizza.com/,4,187,40.6377231,-74.0873695
Pizza restaurant,Village Maria Pizzeria,,"3995 Amboy Rd, Staten Island, NY 10308",3995 Amboy RdStaten Island,Staten Island,NY,10308,http://www.villagemaria.com/,4,210,40.5504232,-74.1508333
Pizza restaurant,Pizza Mia,,"529 Tompkins Ave., Staten Island, NY 10305",529 Tompkins Ave.Staten Island,Staten Island,NY,10305,https://www.realpizzamia.com/,3.8,98,40.6129181,-74.071285
Pizza restaurant,Brooklyn s Finest Pizza,,"1250 Hylan Blvd, Staten Island, NY 10305",1250 Hylan BlvdStaten Island,Staten Island,NY,10305,https://www.orderbrooklynsfinestpizza.com/,3.7,150,40.5972028,-74.0841631
Pizza restaurant,J and B Pizzeria Restaurant,,"2220 Forest Ave, Staten Island, NY 10303",2220 Forest AveStaten Island,Staten Island,NY,10303,http://www.jbpizza.com/,3.6,133,40.6261573,-74.1631726
Pizza restaurant,All Star Cafe & Pizza 694 Arthur Kill Road Staten Island,,"694 Arthur Kill Rd, Staten Island, NY 10308",694 Arthur Kill RdStaten Island,Staten Island,NY,10308,https://www.allstarpizzastatenisland.com/,3.2,84,40.5594463,-74.1644799
